idx,instance_key,H_prime,V_prime,source
43,8ed01de04e4f4150bb7c9273d279f99a,1;2;0;3;4;5;6;4;6;7;8;8;2;9;10;3;11;0;9;11;0;12;12;1;7;5;10,8;6;1;11;12;0;1;10;3;3;10;0;9;4;6;11;5;5;2;8;4;7;2;0;0;12;7;9,graphs/n12/misr_filtered_043.json
44,d7d5e78948edc85703bb87f3a2f925d6,1;2;3;4;0;5;6;3;6;7;8;8;5;9;10;4;11;0;9;11;0;12;12;1;7;2;10,8;6;1;11;12;0;1;10;4;4;10;3;9;0;6;11;2;2;5;8;0;7;5;3;0;12;7;9,graphs/n12/misr_filtered_044.json
45,ead7b103f10b5e07ec531044a4851b6a,1;2;3;4;5;6;0;5;3;7;8;8;2;9;10;4;11;0;9;11;0;12;12;1;7;6;10,8;3;1;11;12;0;1;10;4;4;10;5;9;0;3;11;6;6;2;8;0;7;2;5;0;12;7;9,graphs/n12/misr_filtered_045.json
46,4f78ada35df230187aacbd9e033a2309,1;2;0;3;4;5;6;4;6;7;8;8;2;9;10;3;11;0;9;11;0;12;12;1;7;5;10,8;6;1;0;11;12;0;1;10;3;3;10;4;9;6;11;5;5;2;8;0;7;2;4;0;12;7;9,graphs/n12/misr_filtered_046.json
47,627775821b2af9312f8ea78f3bef9eb1,1;2;0;3;4;5;6;4;6;0;7;8;8;2;9;10;3;11;0;9;11;0;12;12;1;7;5;10,8;6;1;11;12;0;1;10;3;3;10;4;9;0;6;11;5;5;2;8;0;7;2;4;0;12;7;9,graphs/n12/misr_filtered_047.json
48,82ab3bbcba47abcb490cf4d484360814,1;2;0;3;4;5;6;4;6;7;8;8;2;9;10;3;0;11;9;0;11;12;12;1;7;5;10,8;6;1;0;12;11;1;10;3;3;10;4;9;11;6;0;5;5;2;8;0;7;2;4;0;12;7;9,graphs/n12/misr_filtered_048.json
49,2300514774c98fb78e639a3862e2b7a1,1;2;0;3;4;5;6;4;6;7;8;8;2;9;10;3;11;0;9;11;0;12;12;1;7;5;10,8;6;0;12;11;1;1;10;3;3;10;4;9;0;6;11;5;5;2;8;0;7;2;4;0;12;7;9,graphs/n12/misr_filtered_049.json
50,d1181db09919df8ae882cb638f94b413,1;2;0;3;4;5;6;4;6;7;8;8;2;9;10;3;11;0;9;11;0;12;12;1;7;5;10,8;6;1;11;12;0;1;10;3;3;10;4;9;0;6;11;5;5;2;8;0;7;2;12;4;0;7;9,graphs/n12/misr_filtered_050.json
51,6a6b7a8d37373c26724cf588ae75823c,1;2;0;3;4;5;6;4;6;7;8;8;2;9;10;3;11;0;9;11;0;12;12;1;7;5;10,8;6;1;11;12;0;1;3;10;10;3;4;9;0;6;11;5;5;2;8;0;7;2;4;0;12;7;9,graphs/n12/misr_filtered_051.json
52,d0b66bf280d73512c303c9d22b3e2978,1;2;3;0;4;5;6;4;6;7;8;8;2;9;10;3;11;0;9;11;0;12;12;1;7;5;10,8;6;1;11;12;0;1;10;3;3;10;4;9;0;6;11;5;5;2;8;0;7;2;4;0;12;7;9,graphs/n12/misr_filtered_052.json
53,fde094b31cc07604a2fc56e3c315b3b0,1;2;0;3;4;5;6;4;6;7;8;8;2;9;10;3;11;0;9;11;0;12;12;7;1;5;10,8;6;1;11;12;0;1;10;3;3;10;4;9;0;6;11;5;5;2;8;0;7;2;4;0;12;7;9,graphs/n12/misr_filtered_053.json
54,04eabc6859137a7de5a420a9cecf6dca,1;2;0;3;4;5;6;4;6;7;8;8;2;9;10;3;11;0;9;11;0;12;12;1;7;5;10,8;6;1;11;12;0;1;10;3;3;10;4;9;0;6;11;5;5;2;0;8;7;12;0;4;2;7;9,graphs/n12/misr_filtered_054.json
55,1b60719741a9dc7e14e3fcbd741af310,1;2;0;3;4;5;6;4;6;7;8;8;2;9;10;3;11;0;9;11;0;12;12;1;7;5;10,8;6;1;11;12;0;1;0;10;3;3;10;4;9;6;11;5;5;2;0;8;7;2;4;0;12;7;9,graphs/n12/misr_filtered_055.json
56,14e126b34e99f04af5696aae58af6ab2,1;2;3;4;5;6;7;5;7;8;9;9;4;10;11;2;12;0;10;12;0;13;13;1;8;6;11;3,9;7;1;12;13;0;1;11;2;2;11;5;10;3;7;12;6;6;4;3;9;8;4;5;0;13;8;10,graphs/n12/misr_filtered_056.json
57,ed5d0d6992ac1f46e281250c314f9206,1;2;0;3;4;5;6;4;6;7;8;8;2;9;10;3;11;0;9;11;0;12;12;1;7;5;10,8;6;1;12;11;0;1;10;3;3;10;4;9;0;6;11;5;5;2;0;8;7;2;4;0;12;7;9,graphs/n12/misr_filtered_057.json
58,5c04f42bc5b88ed877c1611e7ed338d7,1;2;0;3;4;5;6;4;6;7;8;8;2;9;10;3;11;0;9;11;0;12;12;1;7;5;10,8;6;1;11;12;0;1;10;3;3;10;4;9;6;0;11;5;5;2;0;8;7;2;4;0;12;7;9,graphs/n12/misr_filtered_058.json
59,c5da5baad1fa612c25d45a6afcf45f6f,1;2;0;3;4;5;6;4;6;7;8;8;2;9;10;3;11;0;9;11;0;12;12;1;7;5;10,8;6;1;11;12;0;1;10;3;3;10;4;9;0;6;11;5;5;2;0;8;7;2;4;7;12;0;9,graphs/n12/misr_filtered_059.json
60,346ed5e8f9108008c06db5562f7c8f0f,1;2;3;4;5;0;6;5;6;7;8;8;2;9;10;4;11;0;9;11;0;12;12;1;7;0;10;3,8;6;1;11;12;0;1;10;4;4;10;5;9;0;6;11;3;3;2;0;8;7;2;5;0;12;7;9,graphs/n12/misr_filtered_060.json
61,9d8e110eef41ba808a99075b99024adf,1;2;0;3;4;5;6;4;6;7;8;8;2;9;10;3;11;0;9;11;12;12;1;7;5;10,8;6;1;11;12;0;1;10;3;3;10;4;9;0;6;11;5;5;2;0;8;7;2;4;0;12;7;9,graphs/n12/misr_filtered_061.json
62,d1ad5e55d9b1ea719a10b10fe1d1590c,1;2;0;3;4;5;6;4;6;7;8;8;2;9;10;3;11;0;9;11;12;12;0;1;7;5;10,8;6;1;11;12;0;1;10;3;3;10;4;9;0;6;11;5;5;2;0;8;7;2;4;0;12;7;9,graphs/n12/misr_filtered_062.json
63,1838b6a0b4e87387143cbbe37b3940f9,1;2;0;3;4;5;6;4;6;7;8;8;2;0;9;3;10;11;0;10;11;12;12;1;7;5;9,8;6;1;10;12;0;1;9;3;3;9;4;11;0;6;10;5;5;2;0;8;7;2;4;0;12;7;11,graphs/n12/misr_filtered_063.json
64,7317a796e4104dd2a687f8f95c68d17e,1;2;0;3;4;5;6;4;6;7;8;8;2;9;10;3;11;0;9;11;0;12;12;1;7;5;10,8;6;1;11;12;0;1;10;3;3;10;0;9;4;6;11;5;5;2;4;8;7;2;0;0;12;7;9,graphs/n12/misr_filtered_064.json
65,e42263ea1ac81db63cca9b1b3c106bc4,1;2;0;3;4;5;6;4;6;7;8;8;2;9;10;3;11;0;9;11;0;0;12;12;1;7;5;10,8;6;1;11;12;0;1;10;3;3;10;4;9;0;6;11;5;5;2;0;8;7;2;4;0;12;7;9,graphs/n12/misr_filtered_065.json
66,5bdb9bbb771768e0f6f4b8be65bef994,1;2;0;3;4;5;6;4;6;7;8;8;2;9;10;3;11;0;9;11;0;12;12;1;7;5;10,8;6;1;11;0;12;1;10;3;3;10;4;9;0;6;11;5;5;2;0;8;7;2;4;0;12;7;9,graphs/n12/misr_filtered_066.json
67,c31d7545aa15ec5e8782e3bdab35598c,1;2;0;3;4;5;6;0;4;6;7;8;8;2;9;10;3;11;0;9;11;12;12;1;7;5;10,8;6;1;11;12;0;1;10;3;3;10;4;9;0;6;11;5;5;2;0;8;7;2;4;0;12;7;9,graphs/n12/misr_filtered_067.json
68,1415db8b30a5b5c271b4e9d5d2925f54,1;2;0;3;4;5;6;4;5;7;8;8;2;9;10;3;11;0;9;11;0;12;12;1;7;6;10,8;4;1;11;12;0;1;10;3;3;10;5;9;0;4;11;6;6;2;0;8;7;2;5;0;12;7;9,graphs/n12/misr_filtered_068.json
69,78e0c6c582d508b8b04528ef4a4d8aa9,1;2;3;0;4;5;6;5;6;7;8;8;3;9;10;4;11;0;9;11;0;12;12;1;7;2;10,8;6;1;11;12;0;1;10;4;4;10;5;9;0;6;11;2;2;3;0;8;7;3;5;0;12;7;9,graphs/n12/misr_filtered_069.json
70,77fbabab1e45585182f9cee72caebcea,1;2;0;3;4;5;6;4;6;7;8;8;2;9;10;3;11;0;9;11;0;12;12;1;7;5;10,8;6;1;11;12;0;1;10;3;3;10;4;9;0;6;11;5;5;2;0;8;7;2;4;0;12;9;7,graphs/n12/misr_filtered_070.json
71,0f0c61329e30819507ca24d24035fc8b,1;2;3;4;5;0;6;5;6;7;8;8;2;9;10;4;11;0;9;11;0;12;12;1;7;3;10,8;6;1;11;12;0;1;10;4;4;10;5;9;0;6;11;3;3;2;0;8;7;2;5;0;12;7;9,graphs/n12/misr_filtered_071.json
72,7947a82dadf4a605acc89cf67fd573b7,1;2;3;4;5;6;7;4;2;8;9;9;7;10;11;5;12;0;10;12;0;13;13;1;8;3;11;6,9;2;1;12;13;0;1;11;5;5;11;4;10;3;2;12;6;6;7;3;9;8;7;4;0;13;8;10,graphs/n12/misr_filtered_072.json
73,2651bc15e708f9bf697db679c62bf926,1;2;3;4;5;0;6;5;6;7;8;8;2;9;10;4;11;0;9;11;0;12;12;1;7;0;10;3,6;1;8;11;12;0;1;10;4;4;10;5;9;0;6;11;3;3;2;0;8;7;2;5;0;12;7;9,graphs/n12/misr_filtered_073.json
74,5cce19a384886825b3b767dc0ecdba98,1;2;3;4;5;0;6;5;6;7;8;8;2;9;10;4;11;0;9;11;0;12;12;1;7;0;10;3,8;6;1;12;11;0;1;10;4;4;10;5;9;0;6;11;3;3;2;0;8;7;2;5;0;12;7;9,graphs/n12/misr_filtered_074.json
75,8c86a3f75e457554bf002199f4e73acd,1;2;3;4;5;0;6;5;6;7;8;8;2;9;10;4;11;0;9;11;0;12;12;1;7;0;10;3,8;6;1;11;12;0;1;10;4;4;10;9;5;0;6;11;3;3;2;0;8;7;2;9;0;12;7;5,graphs/n12/misr_filtered_075.json
76,136c9bee499bfe06640b032ac8232c78,1;2;3;4;5;0;6;5;6;7;8;8;2;9;10;4;11;0;9;11;0;12;12;1;7;0;10;3,8;5;1;11;12;0;1;10;4;4;10;6;9;0;5;11;3;3;2;0;8;7;2;6;0;12;7;9,graphs/n12/misr_filtered_076.json
77,717932063ba69b6d59c095ffa35b6f25,1;2;3;4;5;0;6;5;6;7;8;8;0;2;9;10;4;11;0;9;11;12;12;1;7;0;10;3,8;6;1;11;12;0;1;10;4;4;10;5;9;0;6;11;3;3;2;0;8;7;2;5;0;12;7;9,graphs/n12/misr_filtered_077.json
78,f80cbfe8b842fa85ffbfba14cd4c3855,1;2;3;4;5;0;6;5;6;7;8;8;2;9;10;4;11;0;9;11;0;12;12;1;7;0;10;3,8;6;1;11;12;0;1;10;4;4;10;0;9;5;6;11;3;3;2;5;8;7;2;0;0;12;7;9,graphs/n12/misr_filtered_078.json
79,855c01066cd8de2be3c997a5bcd5cb64,1;2;3;4;5;0;6;5;6;7;8;8;2;9;10;4;0;11;9;11;0;12;12;1;7;0;10;3,8;6;1;11;12;0;1;10;4;4;10;5;9;0;6;11;3;3;2;0;8;7;2;5;0;12;7;9,graphs/n12/misr_filtered_079.json
80,25b66bb6a9d54312488f7634f6a4a364,1;2;3;4;0;5;6;5;6;7;8;8;2;9;10;4;11;0;9;11;0;12;12;1;7;0;10;3,8;6;1;11;12;0;1;10;4;4;10;0;9;5;6;11;3;3;2;5;8;7;2;0;0;12;7;9,graphs/n12/misr_filtered_080.json
81,8ea1ee585b83c55e5d85f75a4118dc15,1;2;3;4;5;0;6;5;6;7;8;8;2;9;10;4;11;0;9;11;0;12;12;1;7;0;10;3,8;6;3;11;12;0;3;10;4;4;10;5;9;0;6;11;1;1;2;0;8;7;2;5;0;12;7;9,graphs/n12/misr_filtered_081.json
82,97b52a6019dc6c7454b21b3e5dd9b7a4,1;2;3;4;5;0;6;5;6;7;8;8;2;9;10;4;11;0;9;11;0;12;12;1;7;0;10;3,8;6;11;12;0;1;1;10;4;4;10;5;9;0;6;11;3;3;2;0;8;7;2;5;0;12;7;9,graphs/n12/misr_filtered_082.json
83,8c1c770b1dd62b1d1b5c96899ad335e7,1;2;3;4;5;6;0;3;6;7;8;8;2;9;10;5;11;0;9;11;0;12;12;1;7;0;10;4,8;3;1;11;12;0;1;10;5;5;10;6;9;0;3;11;4;4;2;0;8;7;2;6;0;12;7;9,graphs/n12/misr_filtered_083.json
84,56025e2308cb3b4990571dea8e2f4a3c,1;2;3;4;5;0;6;5;2;7;8;8;6;9;10;4;11;0;9;11;0;12;12;1;7;0;10;3,8;2;1;11;12;0;1;10;4;4;10;5;9;0;2;11;3;3;6;0;8;7;6;5;0;12;7;9,graphs/n12/misr_filtered_084.json
85,d78fafa8c1f50cf1401a67ab75d2a0f2,1;2;3;4;5;0;6;5;6;7;8;8;2;9;10;4;11;0;9;11;0;12;12;1;7;0;10;3,8;6;1;11;12;0;1;10;4;4;10;5;9;0;6;11;3;3;2;0;8;7;2;7;0;12;5;9,graphs/n12/misr_filtered_085.json
86,0906e5d269772435902070149a9db932,1;2;3;4;5;0;6;5;6;7;8;8;2;9;10;4;11;0;9;11;0;12;12;1;7;3;10,8;6;1;11;12;0;1;10;4;4;10;5;9;0;6;11;3;3;2;0;8;7;2;5;0;7;12;9,graphs/n12/misr_filtered_086.json
87,6e7ab28a9969e04e39c2de2edcdea8d8,1;2;0;0;3;4;5;1;6;5;7;8;8;2;9;10;6;11;0;9;11;12;12;3;7;4;10,8;3;5;11;12;0;3;10;6;6;10;1;9;0;5;11;4;4;2;8;0;7;2;1;0;12;7;9,graphs/n12/misr_filtered_087.json
88,9699d148ff521f404a21229414757724,1;2;3;0;0;4;5;1;6;5;7;8;8;2;9;10;6;11;0;9;11;12;12;0;7;4;10;3,8;3;5;11;12;0;3;10;6;6;10;1;9;0;5;11;4;4;2;8;0;7;2;1;0;12;7;9,graphs/n12/misr_filtered_088.json
89,6a0b1dc8812bf95bf3191976cdb08981,1;2;0;0;3;4;5;1;6;5;7;8;8;2;9;10;6;11;0;9;11;12;12;3;7;4;10,0;12;11;5;3;8;3;10;6;6;10;1;9;0;5;11;4;4;2;8;0;7;2;1;0;12;7;9,graphs/n12/misr_filtered_089.json
90,3364f16ed9db9ef6a0d09d783518b0db,1;2;0;0;3;4;5;1;6;5;7;8;8;2;9;10;6;11;0;9;11;12;12;3;7;4;10,8;3;5;11;12;0;3;10;6;6;10;1;9;0;5;11;4;4;2;8;7;2;1;0;0;12;7;9,graphs/n12/misr_filtered_090.json
